chr_physbin	Chr.x	Species.x	physbin	rate	physbinnum.x	gene_num	Chr.y	physbinnum.y	Species.y
II (0.28,0.29]	II	C. briggsae	(0.28,0.29]	-8.80678996423077e-15	29	30	II	29	C. briggsae
II (0.29,0.3]	II	C. briggsae	(0.29,0.3]	2.9387069477901	30	23	II	30	C. briggsae
II (0.3,0.31]	II	C. briggsae	(0.3,0.31]	8.01390203526693e-08	31	42	II	31	C. briggsae
II (0.31,0.32]	II	C. briggsae	(0.31,0.32]	1.11921354226953	32	47	II	32	C. briggsae
II (0.32,0.33]	II	C. briggsae	(0.32,0.33]	-4.50466831863733e-15	33	11	II	33	C. briggsae
II (0.33,0.34]	II	C. briggsae	(0.33,0.34]	0.590417016710291	34	45	II	34	C. briggsae
II (0.34,0.35]	II	C. briggsae	(0.34,0.35]	-1.17505570633172e-14	35	65	II	35	C. briggsae
II (0.35,0.36]	II	C. briggsae	(0.35,0.36]	-1.1750557063317e-14	36	16	II	36	C. briggsae
II (0.36,0.37]	II	C. briggsae	(0.36,0.37]	-1.17505570633169e-14	37	40	II	37	C. briggsae
II (0.37,0.38]	II	C. briggsae	(0.37,0.38]	-1.17505570633169e-14	38	40	II	38	C. briggsae
II (0.38,0.39]	II	C. briggsae	(0.38,0.39]	-1.1750557063317e-14	39	22	II	39	C. briggsae
II (0.39,0.4]	II	C. briggsae	(0.39,0.4]	-1.1750557063317e-14	40	42	II	40	C. briggsae
II (0.4,0.41]	II	C. briggsae	(0.4,0.41]	-1.17505570633172e-14	41	33	II	41	C. briggsae
II (0.41,0.42]	II	C. briggsae	(0.41,0.42]	-1.17505570633171e-14	42	32	II	42	C. briggsae
II (0.42,0.43]	II	C. briggsae	(0.42,0.43]	-1.17505570633168e-14	43	40	II	43	C. briggsae
II (0.43,0.44]	II	C. briggsae	(0.43,0.44]	1.4227771855904	44	44	II	44	C. briggsae
II (0.44,0.45]	II	C. briggsae	(0.44,0.45]	-9.9794253611622e-15	45	22	II	45	C. briggsae
II (0.45,0.46]	II	C. briggsae	(0.45,0.46]	-9.97942536116214e-15	46	57	II	46	C. briggsae
II (0.46,0.47]	II	C. briggsae	(0.46,0.47]	-9.97942536116234e-15	47	36	II	47	C. briggsae
II (0.47,0.48]	II	C. briggsae	(0.47,0.48]	-9.97942536116226e-15	48	24	II	48	C. briggsae
II (0.48,0.49]	II	C. briggsae	(0.48,0.49]	0.574846494820198	49	48	II	49	C. briggsae
