Species	Chr	physbin	rate	value	category	physbin2
C. remanei	V	(0.02,0.03]	1.39067990031959	0.0184833035312353	diversity	0.02
C. remanei	V	(0.03,0.04]	0.403181286162696	0.0221702515035078	diversity	0.03
C. remanei	V	(0.04,0.05]	1.44658014508893	0.018957219705563	diversity	0.04
C. remanei	V	(0.05,0.06]	1.35422391986451	0.0173690506317832	diversity	0.05
C. remanei	V	(0.07,0.08]	0.808967709482988	0.0182349466243679	diversity	0.07
C. remanei	V	(0.08,0.09]	2.91294789275978	0.0195622944682653	diversity	0.08
C. remanei	V	(0.09,0.1]	5.23411199819721E-15	0.0263341092678838	diversity	0.09
C. remanei	V	(0.11,0.12]	6.28694215425723	0.0232567123684643	diversity	0.11
C. remanei	V	(0.12,0.13]	3.33907840333445	0.0189780797754752	diversity	0.12
C. remanei	V	(0.13,0.14]	2.6881568820946	0.0146317147510353	diversity	0.13
C. remanei	V	(0.14,0.15]	4.74614135345487	0.0183951800242739	diversity	0.14
C. remanei	V	(0.16,0.17]	0.455622256624326	0.0169795842078454	diversity	0.16
C. remanei	V	(0.17,0.18]	4.68703911249158	0.0169672567361722	diversity	0.17
C. remanei	V	(0.18,0.19]	2.98642198022677	0.024640840527538	diversity	0.18
C. remanei	V	(0.19,0.2]	0.620559514712317	0.024704693985748	diversity	0.19
C. remanei	V	(0.2,0.21]	1.05491977887763	0.0214431105104635	diversity	0.2
C. remanei	V	(0.21,0.22]	1.09291877439202	0.0174651130428123	diversity	0.21
C. remanei	V	(0.23,0.24]	1.28608788695707	0.0211900958015405	diversity	0.23
C. remanei	V	(0.24,0.25]	0.316271751542464	0.017732953958245	diversity	0.24
C. remanei	V	(0.25,0.26]	0.386715129790889	0.0155876462264318	diversity	0.25
C. remanei	V	(0.26,0.27]	0.44991378454339	0.0169865230585159	diversity	0.26
C. remanei	V	(0.27,0.28]	0.96778223586052	0.0133236613526734	diversity	0.27
C. remanei	V	(0.28,0.29]	1.57247989541721	0.0165596404790938	diversity	0.28
C. remanei	V	(0.29,0.3]	1.01900836948201	0.0140830917952907	diversity	0.29
C. remanei	V	(0.3,0.31]	-2.89784133679937E-15	0.0133748200314696	diversity	0.3
C. remanei	V	(0.31,0.32]	1.3521792284184	0.0120937338061959	diversity	0.31
C. remanei	V	(0.32,0.33]	1.53484277492602E-15	0.0117801794630592	diversity	0.32
C. remanei	V	(0.33,0.34]	0.456189816457327	0.0128147724611645	diversity	0.33
C. remanei	V	(0.34,0.35]	0.354572993254053	0.0123430873119778	diversity	0.34
C. remanei	V	(0.35,0.36]	2.0918108415934E-14	0.0147173464075798	diversity	0.35
C. remanei	V	(0.36,0.37]	0.257212865987522	0.0138072504985618	diversity	0.36
C. remanei	V	(0.37,0.38]	-1.59108351470595E-14	0.0135129649950545	diversity	0.37
C. remanei	V	(0.38,0.39]	0.396579384420692	0.0134027239637575	diversity	0.38
C. remanei	V	(0.39,0.4]	-2.89800579848104E-14	0.0112471672961396	diversity	0.39
C. remanei	V	(0.4,0.41]	6.56570501292169E-15	0.0146796231177064	diversity	0.4
C. remanei	V	(0.41,0.42]	-1.9007895404616E-15	0.0145309773417371	diversity	0.41
C. remanei	V	(0.42,0.43]	3.58266043151022E-14	0.0134026483020059	diversity	0.42
