sp	chrom	w	n	norm	theta
tropicalis	I	2e+06	79	0.164203612479475	0.00105776423406495
tropicalis	I	2020000	72	0.165845648604269	0.000964038289274381
tropicalis	I	2040000	125	0.167487684729064	0.0016736775855458
tropicalis	I	2060000	68	0.169129720853859	0.000910480606536915
tropicalis	I	2080000	80	0.170771756978654	0.00108377198433557
tropicalis	I	2100000	451	0.172413793103448	0.00626782428662526
tropicalis	I	2120000	841	0.174055829228243	0.0116878940688511
tropicalis	I	2140000	43	0.175697865353038	0.000625081310969286
tropicalis	I	2160000	679	0.177339901477833	0.00931321242972432
tropicalis	I	2180000	783	0.178981937602627	0.0106074182966844
tropicalis	I	2200000	639	0.180623973727422	0.00865662872488039
tropicalis	I	2220000	610	0.182266009852217	0.00826376138055874
tropicalis	I	2240000	1022	0.183908045977012	0.0136839879394225
tropicalis	I	2260000	1003	0.185550082101806	0.0135877912536072
tropicalis	I	2280000	1689	0.187192118226601	0.0228811360192848
tropicalis	I	2300000	1126	0.188834154351396	0.0150764876905966
tropicalis	I	2320000	102	0.19047619047619	0.00138180928002786
tropicalis	I	2340000	854	0.192118226600985	0.0115692659327822
tropicalis	I	2360000	531	0.19376026272578	0.00719353654602736
tropicalis	I	2380000	94	0.195402298850575	0.00125860554433044
tropicalis	I	2400000	39	0.197044334975369	0.000528338842363592
tropicalis	I	2420000	76	0.198686371100164	0.00101759597201185
tropicalis	I	2440000	94	0.200328407224959	0.0012734320815943
tropicalis	I	2460000	112	0.201970443349754	0.0015172807780698
tropicalis	I	2480000	143	0.203612479474548	0.0019146871578644
tropicalis	I	2500000	97	0.205254515599343	0.00129877380638354
tropicalis	I	2520000	601	0.206896551724138	0.00824335886636866
tropicalis	I	2540000	406	0.208538587848933	0.00556872495797949
tropicalis	I	2560000	717	0.210180623973727	0.00971330640960757
tropicalis	I	2580000	471	0.211822660098522	0.00638070755777568
tropicalis	I	2600000	77	0.213464696223317	0.00103098539269621
